(10,393.2388653755188)
(12,894.3412547111511)
(14,1541.162607908249)
(16,2013.5992155075073)
(18,3067.4489872455597)
(20,5505.336767911911)

(10,467.106915473938)
(12,942.2816780408224)
(14,1716.3876173496246)
(16,2408.773874759674)
(18,3650.381138642629)
(20,5628.094315608342)

(10,586.3277447223663)
(12,1022.025904417038)
(14,1953.021645784378)
(16,2710.487903356552)
(18,4200.877416849136)
(20,5702.416840314865)

(10,366.68371057510376)
(12,820.0206243991852)
(14,1137.1545357704163)
(16,2123.952779531479)
(18,2825.8732137680054)
(20,4289.6046233177185)

(10,482.3825792471568)
(12,927.1962710221609)
(14,1382.1638074715931)
(16,2324.7032708326974)
(18,3244.8236667315164)
(20,4619.942178885142)

(10,585.4632513523102)
(12,990.5618226528168)
(14,1550.9420449733734)
(16,2433.011446237564)
(18,3926.376158952713)
(20,4892.870826721191)

