(0.3327665328979492,281000)
(0.6660690307617188,253000)
(1.6596102714538574,212000)
(2.8085169792175293,210000)
(3.951655864715576,182000)
(5.426151275634766,172000)
(7.219911575317383,171000)
(8.19428300857544,167000)
(8.359489679336548,124500)
(12.92837643623352,121000)
(15.22073221206665,116000)
(15.878974914550781,113000)
(18.99327301979065,108000)
(19.64698624610901,107500)
(23.236474752426147,106000)
(25.19795846939087,105500)
(29.11633610725403,103500)
(34.05776643753052,100000)
(36.848862648010254,98500)
(73.99358582496643,94000)
(119.1260633468628,83000)
(122.58156967163086,78000)
(127.69525265693665,75000)
(140.98625493049622,73500)
(152.98965430259705,67000)
(154.1488265991211,65500)
(177.88708186149597,64500)
(260.5361156463623,61000)
(415.42657136917114,56500)
(418.3526954650879,55000)
(534.5321342945099,52500)
(740.0435738563538,51500)
(741.5116422176361,47500)
(1078.2456572055817,45500)
(1179.179547548294,45000)
(1204.58469581604,43000)
(1291.4551033973694,42500)
(1519.3225982189178,38500)
(1604.0584399700165,37500)
(1623.6710143089294,36000)
(1634.765977859497,35500)
(1732.773426771164,35000)
(1850.5071675777435,34500)
(2064.556839466095,34000)
(2156.960314512253,33000)
(2271.4802389144897,32500)
(2293.807867527008,32000)
(2474.728371858597,31000)
(2741.2834043502808,30500)
(2950.5585148334503,30000)
(3052.9174139499664,29500)
(3282.181030511856,25500)
(3368.3756818771362,25000)
(3379.334690093994,24000)
(3485.2005364894867,23500)
(3492.1369519233704,22500)
(3496.683993577957,22000)
(3769.388797521591,21000)
(3884.9510588645935,19500)
(3987.658480167389,18500)
(3998.8193187713623,18000)
(4118.945142030716,17500)
(4380.797516107559,15000)
(4505.815142393112,13500)
(4625.593305826187,11000)
(4744.072471141815,9000)
(4850.927504062653,8500)
(4973.0861184597015,8000)
(5093.356396436691,6000)
(5996.675107240677,2000)
(6171.398497343063,1500)
(6521.877180099487,1000)
(7106.44161605835,500)
(7312.973980665207,0)

(0.3323211669921875,457000)
(0.49890756607055664,430500)
(1.4808430671691895,410000)
(1.6448278427124023,396500)
(2.1335480213165283,309500)
(2.9506657123565674,255500)
(8.285766124725342,233500)
(9.099021434783936,219500)
(13.96343994140625,210000)
(26.54916548728943,206500)
(30.90038228034973,203000)
(32.18514704704285,197500)
(32.99153923988342,180000)
(33.96270489692688,179000)
(75.37475180625916,175000)
(180.20510339736938,164500)
(182.50660586357117,153000)
(183.83645129203796,142000)
(302.8577537536621,141000)
(303.68329882621765,131500)
(308.29472732543945,122500)
(311.24265360832214,101000)
(312.23003602027893,100500)
(414.9495961666107,98500)
(417.9117498397827,95500)
(418.407577753067,91000)
(528.9742245674133,90500)
(538.6331713199615,79000)
(647.5408794879913,78500)
(767.3313956260681,73500)
(773.0177555084229,73000)
(778.5412406921387,59000)
(1019.0345315933228,58500)
(1022.6507720947266,58000)
(1031.8225915431976,57500)
(1049.6789610385895,51000)
(1148.3829255104065,50000)
(1157.40185379982,46000)
(1273.5592319965363,45500)
(1384.5910918712616,45000)
(1512.1548550128937,31000)
(1704.4958765506744,30500)
(1895.5336472988129,30000)
(2001.7917935848236,29500)
(2003.1016840934753,29000)
(2011.1379132270813,28500)
(2120.604325771332,28000)
(2235.8556122779846,27500)
(2241.7610807418823,27000)
(2355.731477022171,26500)
(2358.009631872177,26000)
(2470.4078783988953,25500)
(2470.737233877182,25000)
(2472.219605922699,24500)
(2597.432821750641,24000)
(2792.6459703445435,23500)
(2979.271964788437,23000)
(3173.8835113048553,22500)
(3176.1711032390594,22000)
(3177.983867406845,21500)
(3293.2118623256683,21000)
(3407.3468101024628,20500)
(3408.981640815735,20000)
(3534.063487768173,19500)
(3719.6120007038116,19000)
(3721.4138717651367,18000)
(3744.1057040691376,16500)
(3847.9810962677,15500)
(3964.825343608856,14500)
(4075.5484499931335,14000)
(4201.549541473389,13500)
(4309.634652376175,13000)
(4429.396522521973,12500)
(4432.804255962372,12000)
(4548.0991563797,11500)
(4742.832874536514,11000)
(5003.264042377472,10500)
(5007.66491818428,10000)
(5120.38512969017,9000)
(5328.840312004089,8000)
(5448.575746536255,7500)
(5548.974976301193,7000)
(5665.755127191544,6500)
(5669.6341671943665,6000)
(5786.676577806473,5500)
(5911.688358545303,5000)
(6019.474479913712,4000)
(6136.947835683823,3500)
(6261.7780747413635,2500)
(6534.729441404343,1500)
(6874.103810548782,1000)
(6886.560881853104,500)
(7096.14035820961,0)

