Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;Min;Max;Avg
30;14;4;1;0;1;2;True;224.8264045715332;348.1727559566498;295.91915464401245
30;14;4;1;0;1;4;True;257.2173807621002;363.5126612186432;294.45383977890015
30;14;4;1;0;1;6;True;314.72682094573975;394.6765489578247;345.95806852976483
30;14;4;1;0;1;8;True;227.71542525291443;296.1200273036957;271.1639976501465
30;14;4;1;0;1;10;True;213.32870030403137;318.6185188293457;280.5988970597585
30;14;4;1;0;1;12;True;255.64689445495605;474.3544611930847;362.1467378139496
30;14;4;1;0;1;14;True;212.75678753852844;403.8002905845642;285.68011077245075
30;14;4;1;0;1;16;True;230.98515820503235;313.103524684906;285.25959904988605
30;14;4;1;0;1;18;True;274.97638273239136;338.32053661346436;304.8254163265228
30;14;4;1;0;1;20;True;341.60719108581543;414.980366230011;368.4571099281311
30;14;4;1;0;1;22;True;228.27202081680298;296.1937437057495;267.80380392074585
30;14;4;1;0;1;24;True;237.93058919906616;315.01399302482605;283.1457436879476
30;14;4;1;0;1;26;True;209.63051056861877;458.7329616546631;298.7255934874217
30;14;4;1;0;1;28;True;270.6308479309082;358.33724093437195;305.0720105965932
30;14;4;1;0;1;30;True;223.82652282714844;357.6767179965973;289.86673227945965
30;14;4;1;0;1;32;True;266.8645746707916;384.5630741119385;315.54748328526813
30;14;4;1;0;1;34;True;250.72953343391418;321.8861861228943;287.7408084869385
30;14;4;1;0;1;36;True;257.48108291625977;371.5044572353363;318.44275665283203
30;14;4;1;0;1;38;True;206.1539113521576;385.60350131988525;283.57328097025555
30;14;4;1;0;1;40;True;237.01509952545166;318.00474309921265;269.55493370691937
30;14;4;1;0;1;42;True;245.96024990081787;334.38227105140686;285.37418540318805
30;14;4;1;0;1;44;True;219.0085506439209;407.28320360183716;308.6372449398041
30;14;4;1;0;1;46;True;252.8032660484314;444.0750136375427;333.08721415201825
30;14;4;1;0;1;48;True;292.8069999217987;400.84229135513306;348.735106865565
30;14;4;1;0;1;50;True;277.60394048690796;351.89743876457214;311.7007191975911
30;14;4;1;0;1;2;False;268.68052530288696;564.3169474601746;373.24212606747943
30;14;4;1;0;1;4;False;234.43814826011658;279.48650884628296;261.4486168225606
30;14;4;1;0;1;6;False;253.01170229911804;373.3248794078827;305.78616921106976
30;14;4;1;0;1;8;False;282.3125412464142;450.0400023460388;372.81972098350525
30;14;4;1;0;1;10;False;258.14850664138794;369.4942572116852;311.69089611371356
30;14;4;1;0;1;12;False;274.3432824611664;433.2614893913269;329.79534037907916
30;14;4;1;0;1;14;False;218.57267427444458;321.19237542152405;279.0925854841868
30;14;4;1;0;1;16;False;248.23403024673462;436.62156677246094;339.76655809084576
30;14;4;1;0;1;18;False;276.9587471485138;352.1315734386444;307.7774922847748
30;14;4;1;0;1;20;False;273.0442478656769;303.2436873912811;291.1612964471181
30;14;4;1;0;1;22;False;293.6849229335785;359.6125843524933;326.1342608133952
30;14;4;1;0;1;24;False;299.5611481666565;363.2989664077759;334.0921932061513
30;14;4;1;0;1;26;False;226.13821601867676;296.7720773220062;269.40728036562604
30;14;4;1;0;1;28;False;200.4174349308014;417.6308455467224;322.0582754611969
30;14;4;1;0;1;30;False;255.1392204761505;392.8538818359375;312.95422116915387
30;14;4;1;0;1;32;False;242.3149538040161;288.4497673511505;263.0213086605072
30;14;4;1;0;1;34;False;313.3297755718231;497.5504548549652;375.1385482947032
30;14;4;1;0;1;36;False;229.6704318523407;378.79569697380066;300.73792656262714
30;14;4;1;0;1;38;False;288.15246868133545;406.25091457366943;348.82517981529236
30;14;4;1;0;1;40;False;316.22351145744324;626.4160280227661;421.3572850227356
30;14;4;1;0;1;42;False;230.83755683898926;352.77915596961975;296.08625841140747
30;14;4;1;0;1;44;False;236.28749203681946;332.8800973892212;282.6593533356984
30;14;4;1;0;1;46;False;230.34441709518433;420.53585147857666;314.2734167575836
30;14;4;1;0;1;48;False;345.35122323036194;400.82730507850647;373.7872375647227
30;14;4;1;0;1;50;False;322.88986706733704;394.2640607357025;355.644757270813
