Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;Min;Max;Avg
30;14;4;1;0;2;2;True;221.4251229763031;311.07823514938354;269.64827887217206
30;14;4;1;0;2;4;True;242.6837441921234;349.7073836326599;282.03891762097675
30;14;4;1;0;2;6;True;242.30793642997742;334.828654050827;273.4867241382599
30;14;4;1;0;2;8;True;204.51706910133362;334.60102462768555;263.7688196500142
30;14;4;1;0;2;10;True;270.4496326446533;379.6821608543396;339.4894560178121
30;14;4;1;0;2;12;True;293.0367488861084;367.3529546260834;318.5883204936981
30;14;4;1;0;2;14;True;288.41759729385376;340.98549222946167;314.1881809234619
30;14;4;1;0;2;16;True;313.4844970703125;352.89676880836487;335.58913644154865
30;14;4;1;0;2;18;True;219.16898107528687;333.0192959308624;284.85836426417035
30;14;4;1;0;2;20;True;250.67421555519104;388.9763870239258;322.509704430898
30;14;4;1;0;2;22;True;281.56853199005127;414.792249917984;345.53307779630023
30;14;4;1;0;2;24;True;237.45372581481934;344.6374056339264;296.13701311747235
30;14;4;1;0;2;26;True;277.50437927246094;751.9162418842316;445.8584674199422
30;14;4;1;0;2;28;True;218.12929773330688;443.75086188316345;345.0890121459961
30;14;4;1;0;2;30;True;277.0405044555664;357.2901575565338;309.2247727711995
30;14;4;1;0;2;32;True;289.6224114894867;304.30192494392395;299.3206853866577
30;14;4;1;0;2;34;True;288.75875449180603;422.27140045166016;345.4508535861969
30;14;4;1;0;2;36;True;334.67466473579407;377.9126317501068;360.6229699452718
30;14;4;1;0;2;38;True;230.83349299430847;308.34779810905457;267.75655603408813
30;14;4;1;0;2;40;True;231.08794164657593;313.177446603775;277.4640095233917
30;14;4;1;0;2;42;True;281.3471751213074;337.2039461135864;301.24549682935077
30;14;4;1;0;2;44;True;286.62797021865845;367.73381328582764;323.90403548876446
30;14;4;1;0;2;46;True;208.41766119003296;474.70840406417847;320.53587396939594
30;14;4;1;0;2;48;True;252.6169056892395;327.2079257965088;289.6501175562541
30;14;4;1;0;2;50;True;237.08014273643494;327.68434619903564;290.6580657164256
30;14;4;1;0;2;2;False;284.16822576522827;446.23439025878906;364.8529214859009
30;14;4;1;0;2;4;False;232.68622422218323;251.81427264213562;241.21606731414795
30;14;4;1;0;2;6;False;253.73314499855042;349.53419828414917;290.7015964984894
30;14;4;1;0;2;8;False;253.30418395996094;366.66633224487305;315.6361912886302
30;14;4;1;0;2;10;False;271.80837750434875;387.07584619522095;335.32093302408856
30;14;4;1;0;2;12;False;258.2689220905304;317.12743401527405;291.0975022315979
30;14;4;1;0;2;14;False;233.0100724697113;351.00153732299805;283.4960421721141
30;14;4;1;0;2;16;False;234.12297129631042;312.6886672973633;277.4688454469045
30;14;4;1;0;2;18;False;251.6750361919403;336.3026638031006;289.91107718149823
30;14;4;1;0;2;20;False;237.78185749053955;343.0697212219238;296.2691315809886
30;14;4;1;0;2;22;False;231.48649978637695;455.9268763065338;321.23218965530396
30;14;4;1;0;2;24;False;270.1530952453613;400.0945484638214;339.0177137851715
30;14;4;1;0;2;26;False;224.8476676940918;455.5739691257477;308.4331823190053
30;14;4;1;0;2;28;False;272.854355096817;350.7932243347168;309.1764561335246
30;14;4;1;0;2;30;False;248.4173436164856;393.1219849586487;319.7582921187083
30;14;4;1;0;2;32;False;279.80933952331543;550.2681005001068;371.7395875453949
30;14;4;1;0;2;34;False;279.62798619270325;354.2814679145813;323.5346739292145
30;14;4;1;0;2;36;False;280.4250338077545;363.1415054798126;317.56218218803406
30;14;4;1;0;2;38;False;253.69212651252747;351.8031544685364;313.76863892873126
30;14;4;1;0;2;40;False;281.37468791007996;367.22664070129395;318.9857779343923
30;14;4;1;0;2;42;False;256.01537561416626;275.98110604286194;267.37588628133136
30;14;4;1;0;2;44;False;325.1774287223816;414.6868920326233;365.4165678024292
30;14;4;1;0;2;46;False;271.8071517944336;340.1453800201416;298.66620326042175
30;14;4;1;0;2;48;False;224.6203007698059;270.41877126693726;251.08054343859354
30;14;4;1;0;2;50;False;171.172593832016;433.28518891334534;321.89429330825806
