Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;Rep;Step;Cost
30;14;4;1;0;3;2;True;0;0.14997410774230957;209000
30;14;4;1;0;3;2;True;0;0.40386104583740234;200500
30;14;4;1;0;3;2;True;0;0.44127964973449707;186000
30;14;4;1;0;3;2;True;0;1.0492420196533203;177000
30;14;4;1;0;3;2;True;0;1.6943185329437256;176500
30;14;4;1;0;3;2;True;0;2.267998456954956;176000
30;14;4;1;0;3;2;True;0;2.874331474304199;171000
30;14;4;1;0;3;2;True;0;3.164870023727417;168500
30;14;4;1;0;3;2;True;0;3.4175453186035156;165500
30;14;4;1;0;3;2;True;0;12.855332612991333;161500
30;14;4;1;0;3;2;True;0;15.463773250579834;157500
30;14;4;1;0;3;2;True;0;15.85568356513977;152000
30;14;4;1;0;3;2;True;0;24.558867692947388;142000
30;14;4;1;0;3;2;True;0;25.486687660217285;135500
30;14;4;1;0;3;2;True;0;28.05172038078308;135000
30;14;4;1;0;3;2;True;0;36.43174719810486;119500
30;14;4;1;0;3;2;True;0;36.57519578933716;113000
30;14;4;1;0;3;2;True;0;36.64763355255127;111000
30;14;4;1;0;3;2;True;0;37.32494235038757;65000
30;14;4;1;0;3;2;True;0;37.39662146568298;64000
30;14;4;1;0;3;2;True;0;38.81029653549194;63000
30;14;4;1;0;3;2;True;0;39.375187158584595;62500
30;14;4;1;0;3;2;True;0;39.83503603935242;62000
30;14;4;1;0;3;2;True;0;49.9380362033844;61000
30;14;4;1;0;3;2;True;0;50.294432163238525;60500
30;14;4;1;0;3;2;True;0;52.90584444999695;60000
30;14;4;1;0;3;2;True;0;60.91067910194397;56500
30;14;4;1;0;3;2;True;0;61.69011855125427;54500
30;14;4;1;0;3;2;True;0;63.888240575790405;54000
30;14;4;1;0;3;2;True;0;64.27917170524597;53500
30;14;4;1;0;3;2;True;0;76.8987557888031;53000
30;14;4;1;0;3;2;True;0;78.47010064125061;25000
30;14;4;1;0;3;2;True;0;79.71509337425232;20000
30;14;4;1;0;3;2;True;0;97.3415002822876;19500
30;14;4;1;0;3;2;True;0;108.04634618759155;19000
30;14;4;1;0;3;2;True;0;110.03968954086304;18500
30;14;4;1;0;3;2;True;0;111.95920205116272;17000
30;14;4;1;0;3;2;True;0;129.10270142555237;16500
30;14;4;1;0;3;2;True;0;129.85024738311768;16000
30;14;4;1;0;3;2;True;0;149.0129599571228;14000
30;14;4;1;0;3;2;True;0;151.55769610404968;7500
30;14;4;1;0;3;2;True;0;161.6514711380005;7000
30;14;4;1;0;3;2;True;0;183.40762329101562;6500
30;14;4;1;0;3;2;True;0;193.6899619102478;6000
30;14;4;1;0;3;2;True;0;195.83214259147644;3500
30;14;4;1;0;3;2;True;0;220.79396605491638;3000
30;14;4;1;0;3;2;True;0;233.9807047843933;2000
30;14;4;1;0;3;2;True;0;234.1977081298828;1500
30;14;4;1;0;3;2;True;0;246.2935221195221;0
30;14;4;1;0;3;2;True;1;0.07272624969482422;315000
30;14;4;1;0;3;2;True;1;0.32077503204345703;299500
30;14;4;1;0;3;2;True;1;0.3571205139160156;288500
30;14;4;1;0;3;2;True;1;0.6396265029907227;263000
30;14;4;1;0;3;2;True;1;0.8516149520874023;252500
30;14;4;1;0;3;2;True;1;1.6676764488220215;248500
30;14;4;1;0;3;2;True;1;3.353391647338867;248000
30;14;4;1;0;3;2;True;1;3.917212724685669;246500
30;14;4;1;0;3;2;True;1;19.975902318954468;243500
30;14;4;1;0;3;2;True;1;20.43645977973938;240500
30;14;4;1;0;3;2;True;1;21.391632795333862;223000
30;14;4;1;0;3;2;True;1;21.569518089294434;216500
30;14;4;1;0;3;2;True;1;21.711546182632446;204000
30;14;4;1;0;3;2;True;1;22.101092100143433;179500
30;14;4;1;0;3;2;True;1;22.279301166534424;167000
30;14;4;1;0;3;2;True;1;22.35345697402954;152500
30;14;4;1;0;3;2;True;1;31.769675254821777;110000
30;14;4;1;0;3;2;True;1;33.76623725891113;83500
30;14;4;1;0;3;2;True;1;34.12325072288513;78500
30;14;4;1;0;3;2;True;1;34.409873247146606;78000
