Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;Min;Max;Avg
30;14;4;1;0;4;2;True;265.52241921424866;340.08493065834045;306.8955070177714
30;14;4;1;0;4;4;True;206.80287528038025;355.50274634361267;264.3551615079244
30;14;4;1;0;4;6;True;260.4350094795227;369.24692606925964;299.5943331718445
30;14;4;1;0;4;8;True;242.97052812576294;457.0006847381592;318.5753267606099
30;14;4;1;0;4;10;True;289.51455307006836;350.6668858528137;318.15913248062134
30;14;4;1;0;4;12;True;225.28746223449707;399.33363008499146;294.84460186958313
30;14;4;1;0;4;14;True;269.99677753448486;490.07741689682007;345.9819389979045
30;14;4;1;0;4;16;True;279.8308186531067;422.07800006866455;369.00881934165955
30;14;4;1;0;4;18;True;269.56050848960876;338.2222526073456;295.51505994796753
30;14;4;1;0;4;20;True;281.0197660923004;402.57897186279297;333.4975763956706
30;14;4;1;0;4;22;True;283.5111873149872;464.6067154407501;376.7667305469513
30;14;4;1;0;4;24;True;293.2199993133545;434.1390254497528;349.0512077013652
30;14;4;1;0;4;26;True;240.3783838748932;302.08279752731323;281.1108726660411
30;14;4;1;0;4;28;True;233.73360753059387;346.8034336566925;284.1974090735118
30;14;4;1;0;4;30;True;311.495564699173;1702.9810137748718;778.694497426351
30;14;4;1;0;4;32;True;298.39170718193054;358.7500720024109;322.12961411476135
30;14;4;1;0;4;34;True;250.63865566253662;414.5290608406067;306.59167830149335
30;14;4;1;0;4;36;True;228.24621486663818;477.6010913848877;325.400780359904
30;14;4;1;0;4;38;True;238.71822834014893;295.41207790374756;263.74371274312335
30;14;4;1;0;4;40;True;293.23621916770935;407.62910294532776;354.8842188517253
30;14;4;1;0;4;42;True;273.1303074359894;421.7656648159027;338.95586856206256
30;14;4;1;0;4;44;True;291.92869782447815;301.5808186531067;297.47396953900653
30;14;4;1;0;4;46;True;310.4619896411896;385.42337679862976;336.0773130257924
30;14;4;1;0;4;48;True;253.20170998573303;299.68066239356995;274.28547342618305
30;14;4;1;0;4;50;True;255.1889133453369;332.79643845558167;304.1361770629883
30;14;4;1;0;4;2;False;278.1147184371948;421.1350359916687;367.30007751782733
30;14;4;1;0;4;4;False;250.93792366981506;421.9479019641876;334.9958589871724
30;14;4;1;0;4;6;False;222.0453577041626;436.25936126708984;303.686914285024
30;14;4;1;0;4;8;False;255.62074518203735;316.67993688583374;284.7497142155965
30;14;4;1;0;4;10;False;369.08698654174805;492.8656995296478;430.8797903060913
30;14;4;1;0;4;12;False;250.58639192581177;341.07015085220337;293.08567690849304
30;14;4;1;0;4;14;False;255.41564226150513;311.8378391265869;282.33326355616254
30;14;4;1;0;4;16;False;215.343341588974;265.4577798843384;235.91533931096396
30;14;4;1;0;4;18;False;218.29938340187073;337.60371685028076;274.29169217745465
30;14;4;1;0;4;20;False;255.1239230632782;349.55027890205383;289.865731159846
30;14;4;1;0;4;22;False;256.44729924201965;398.7587730884552;334.0692804654439
30;14;4;1;0;4;24;False;274.57842898368835;298.19356203079224;289.20305546124774
30;14;4;1;0;4;26;False;246.19824957847595;348.800901889801;309.28728715578717
30;14;4;1;0;4;28;False;323.85662150382996;353.90752053260803;338.38443811734516
30;14;4;1;0;4;30;False;299.3875517845154;409.1108911037445;337.06866494814557
30;14;4;1;0;4;32;False;218.62687587738037;410.90544390678406;289.90262993176776
30;14;4;1;0;4;34;False;237.01375246047974;385.40101385116577;318.26226806640625
30;14;4;1;0;4;36;False;259.87047290802;361.4836025238037;300.1775502363841
30;14;4;1;0;4;38;False;229.95345735549927;328.4824559688568;290.4347448348999
30;14;4;1;0;4;40;False;264.2594814300537;410.1089186668396;352.0046013991038
30;14;4;1;0;4;42;False;250.52160453796387;394.265563249588;317.07310660680133
30;14;4;1;0;4;44;False;273.39932441711426;379.4024066925049;331.8424518108368
30;14;4;1;0;4;46;False;282.76139092445374;347.17228984832764;305.3913318316142
30;14;4;1;0;4;48;False;267.2237846851349;391.0762867927551;313.0626488526662
30;14;4;1;0;4;50;False;267.6026990413666;409.22931146621704;357.68564677238464
