Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;AltChances;Min;Max;Avg
40;10;6;3;0;1;0;False;0;432.860643863678;615.5277318954468;509.489066918691
40;10;6;3;5;1;0;False;0;399.32698035240173;564.0350568294525;507.18216307957965
40;10;6;3;10;1;0;False;0;466.40629029273987;655.4867749214172;579.3396558761597
40;10;6;3;15;1;0;False;0;310.0156989097595;537.3133215904236;443.9071027437846
40;10;6;3;20;1;0;False;0;524.127111196518;648.7725055217743;576.5263440608978
40;10;6;3;25;1;0;False;0;450.1445550918579;593.229697227478;534.1174993515015
40;10;6;3;30;1;0;False;0;362.3989431858063;639.8780057430267;526.8264390627543
40;10;6;3;35;1;0;False;0;589.1617798805237;732.0224914550781;653.214715162913
40;10;6;3;40;1;0;False;0;359.2355363368988;711.5343759059906;515.7552495002747
40;10;6;3;45;1;0;False;0;597.7236080169678;5495.533326625824;2308.2950015862784
40;10;6;3;50;1;0;False;0;335.3108673095703;782.4474422931671;563.3475310007731
40;10;6;3;55;1;0;False;0;316.5728552341461;30132.33191013336;10365.73909076055
40;10;6;3;60;1;0;False;0;430.84135031700134;810.5819306373596;669.463529586792
30;10;6;3;0;1;0;False;0;480.3202133178711;708.0050132274628;607.9518462022146
30;10;6;3;5;1;0;False;0;573.5964004993439;743.0611255168915;670.6564983526865
30;10;6;3;10;1;0;False;0;475.7266616821289;781.5513195991516;642.192566315333
30;10;6;3;15;1;0;False;0;649.5753588676453;3921.749606370926;1774.38125983874
30;10;6;3;20;1;0;False;0;559.3090074062347;2456.5875113010406;1299.3811065355937
30;10;6;3;25;1;0;False;0;425.63756561279297;862.8682737350464;627.6835362116495
30;10;6;3;30;1;0;False;0;426.75923919677734;872.8163070678711;617.5785892009735
30;10;6;3;35;1;0;False;0;481.2532494068146;1566.7908718585968;950.1583484013876
30;10;6;3;40;1;0;False;0;692.6923961639404;949.7585153579712;817.4066256682078
30;10;6;3;45;1;0;False;0;794.1064023971558;895.8102765083313;836.3149627844492
30;10;6;3;50;1;0;False;0;700.1568319797516;889.6867971420288;822.3509670893351
30;10;6;3;55;1;0;False;0;763.9204876422882;30325.559339523315;10630.283642450968
30;10;6;3;60;1;0;False;0;607.2089080810547;917.4451851844788;753.374382019043
