Slack;Tasks;Units;UnitTypes;TaskRelations;SharedResourceNo;AccWindows;AER;AltChances;Min;Max;Avg
40;10;6;2;0;1;0;False;0;242.59001278877258;595.8320376873016;419.24754508336383
40;10;6;2;5;1;0;False;0;363.4585621356964;692.0448565483093;519.9847438335419
40;10;6;2;10;1;0;False;0;444.9397234916687;595.2893891334534;515.9264768759409
40;10;6;2;15;1;0;False;0;387.91481924057007;630.8549284934998;484.1469020843506
40;10;6;2;20;1;0;False;0;415.97762274742126;523.9907259941101;471.0262285868327
40;10;6;2;25;1;0;False;0;476.80678248405457;511.62301802635193;490.43083055814105
40;10;6;2;30;1;0;False;0;479.0983533859253;791.7211441993713;613.841903924942
40;10;6;2;35;1;0;False;0;394.270592212677;581.126959323883;457.55314604441327
40;10;6;2;40;1;0;False;0;495.22928166389465;564.761372089386;538.4368212223053
40;10;6;2;45;1;0;False;0;411.940256357193;705.024219751358;570.5972145398458
40;10;6;2;50;1;0;False;0;398.2201428413391;613.3625257015228;516.3185877799988
40;10;6;2;55;1;0;False;0;351.8599486351013;615.4625806808472;489.2379767894745
40;10;6;2;60;1;0;False;0;233.42425084114075;618.3192083835602;439.52021106084186
30;10;6;2;0;1;0;False;0;361.7367126941681;393.94882249832153;381.12480958302814
30;10;6;2;5;1;0;False;0;393.4438359737396;492.0026168823242;436.5916778246562
30;10;6;2;10;1;0;False;0;343.3668246269226;463.7981176376343;405.8531283537547
30;10;6;2;15;1;0;False;0;433.77219796180725;647.1548075675964;506.50789499282837
30;10;6;2;20;1;0;False;0;406.50849080085754;656.2732617855072;510.2425708770752
30;10;6;2;25;1;0;False;0;364.4541664123535;607.5883769989014;462.8088159561157
30;10;6;2;30;1;0;False;0;405.1185281276703;616.8107116222382;485.6641275882721
30;10;6;2;35;1;0;False;0;287.5193295478821;769.1758286952972;482.4985732237498
30;10;6;2;40;1;0;False;0;242.75464487075806;436.9969947338104;345.7977542877197
30;10;6;2;45;1;0;False;0;233.28640270233154;457.76759600639343;362.8905630906423
30;10;6;2;50;1;0;False;0;260.5021026134491;638.2057557106018;421.2068878809611
30;10;6;2;55;1;0;False;0;496.4937744140625;896.0972266197205;634.0148128668467
30;10;6;2;60;1;0;False;0;454.0275754928589;594.9102883338928;522.4212790330251
